,x,y,z,region,septum,mitral_valve
509,7,117,19,heart_myocardium,0,0
510,7,117,20,heart_myocardium,0,0
511,7,117,21,heart_myocardium,0,0
512,7,117,22,heart_myocardium,0,0
513,7,117,23,heart_myocardium,0,0
514,7,117,24,heart_myocardium,0,0
515,7,117,25,heart_myocardium,0,0
516,7,117,26,heart_myocardium,0,0
517,7,117,27,heart_myocardium,0,0
518,7,117,28,heart_myocardium,0,0
519,7,117,29,heart_myocardium,0,0
520,7,118,19,heart_myocardium,0,0
521,7,118,20,heart_myocardium,0,0
522,7,118,21,heart_myocardium,0,0
523,7,118,22,heart_myocardium,0,0
524,7,118,23,heart_myocardium,0,0
525,7,118,24,heart_myocardium,0,0
526,7,118,25,heart_myocardium,0,0
527,7,118,26,heart_myocardium,0,0
528,7,118,27,heart_myocardium,0,0
529,7,118,28,heart_myocardium,0,0
530,7,119,21,heart_myocardium,0,0
531,7,119,22,heart_myocardium,0,0
532,7,119,23,heart_myocardium,0,0
533,7,119,24,heart_myocardium,0,0
534,8,88,26,heart_myocardium,0,0
535,8,88,27,heart_myocardium,0,0
536,8,88,28,heart_myocardium,0,0
537,8,88,29,heart_myocardium,0,0
538,8,88,30,heart_myocardium,0,0
539,8,88,31,heart_myocardium,0,0
540,8,88,32,heart_myocardium,0,0
541,8,89,24,heart_myocardium,0,0
542,8,89,25,heart_myocardium,0,0
543,8,89,26,heart_myocardium,0,0
544,8,89,27,heart_myocardium,0,0
545,8,89,28,heart_myocardium,0,0
546,8,89,29,heart_myocardium,0,0
547,8,89,30,heart_myocardium,0,0
548,8,89,31,heart_myocardium,0,0
549,8,89,32,heart_myocardium,0,0
550,8,89,33,heart_myocardium,0,0
551,8,89,34,heart_myocardium,0,0
552,8,90,22,heart_myocardium,0,0
553,8,90,23,heart_myocardium,0,0
554,8,90,24,heart_myocardium,0,0
555,8,90,25,heart_myocardium,0,0
556,8,90,26,heart_myocardium,0,0
557,8,90,31,heart_myocardium,0,0
558,8,90,32,heart_myocardium,0,0
559,8,90,33,heart_myocardium,0,0
560,8,90,34,heart_myocardium,0,0
561,8,90,35,heart_myocardium,0,0
562,8,91,21,heart_myocardium,0,0
563,8,91,22,heart_myocardium,0,0
564,8,91,23,heart_myocardium,0,0
565,8,91,24,heart_myocardium,0,0
566,8,91,33,heart_myocardium,0,0
